line,section_name,section_artist,song_name,artist_name,song_id
For this love that's more than love,Bridge,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Well I've seen you in jeans with no make-up on,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And I've stood there in awe as your date for the prom,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I'm blessed as a man to have seen you in white,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
But I've never seen anything quite like you tonight,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"No, I've never seen anything quite like you tonight",Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"No, I've never seen anything quite like you tonight",Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"I paint my lips red, I turn my own head",Verse 1,Lady A,Heart Break,Lady A,3084981
"Don't need nobody's help, zipping up my own dress",Verse 1,Lady A,Heart Break,Lady A,3084981
"Pay my own tab, with my own cash, unattached",Verse 1,Lady A,Heart Break,Lady A,3084981
"Sometimes the word alone, sounds like a sad song",Verse 1,Lady A,Heart Break,Lady A,3084981
"But why's it gotta be, 'cause what I really need is a reset",Verse 1,Lady A,Heart Break,Lady A,3084981
"And a deep breath, yeah",Verse 1,Lady A,Heart Break,Lady A,3084981
"I think it's time to take a heart break, out late",Chorus,Lady A,Heart Break,Lady A,3084981
Solo on a Saturday night,Chorus,Lady A,Heart Break,Lady A,3084981
"Going out without a plus one, I'm done",Chorus,Lady A,Heart Break,Lady A,3084981
Falling over pickup lines,Chorus,Lady A,Heart Break,Lady A,3084981
"I'm single for the summer, I won't rebound",Chorus,Lady A,Heart Break,Lady A,3084981
"One lover to another, or be tied down",Chorus,Lady A,Heart Break,Lady A,3084981
"'Til I'm sleeping like a queen in a California king I made (I made, I made)",Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
"It's just a little phase, give me a little space",Verse 2,Lady A,Heart Break,Lady A,3084981
"You might see through it, but I'm putting on a poker face",Verse 2,Lady A,Heart Break,Lady A,3084981
"Givin' love a rest, between my ex, and my next",Verse 2,Lady A,Heart Break,Lady A,3084981
"I think it's time to take a heart break, out late",Chorus,Lady A,Heart Break,Lady A,3084981
Solo on a Saturday night,Chorus,Lady A,Heart Break,Lady A,3084981
"Going out without a plus one, I'm done",Chorus,Lady A,Heart Break,Lady A,3084981
Falling over pickup lines,Chorus,Lady A,Heart Break,Lady A,3084981
"I'm single for the summer, I won't rebound",Chorus,Lady A,Heart Break,Lady A,3084981
"One lover to another, or be tied down",Chorus,Lady A,Heart Break,Lady A,3084981
"'Til I'm sleeping like a queen in a California king I made (I made, I made)",Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
"Love, I'm over you (Love, I'm over you)",Bridge,Lady A,Heart Break,Lady A,3084981
It's long overdue,Bridge,Lady A,Heart Break,Lady A,3084981
"I think it's time to take a heart break (I'm single for the summer, I won't rebound)",Bridge,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Bridge,Lady A,Heart Break,Lady A,3084981
"Oh, I think it's time to take a heart break, out late",Chorus,Lady A,Heart Break,Lady A,3084981
Solo on a Saturday night,Chorus,Lady A,Heart Break,Lady A,3084981
"Going out without a plus one, I'm done",Chorus,Lady A,Heart Break,Lady A,3084981
Falling over pickup lines,Chorus,Lady A,Heart Break,Lady A,3084981
"I'm single for the summer, I won't rebound",Chorus,Lady A,Heart Break,Lady A,3084981
"One lover to another, or be tied down",Chorus,Lady A,Heart Break,Lady A,3084981
"'Til I'm sleeping like a queen in a California king I made (I made, I made)",Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
I think it's time to take a heart break,Chorus,Lady A,Heart Break,Lady A,3084981
Remember the day our lips touched in the rain,Verse 1,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Fireworks through my veins, into my heart",Verse 1,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Remember the nights, dancing under the sky",Verse 1,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I got lost in the moonlight,Verse 1,Colbie Caillat,In Love Again,Colbie Caillat,1861040
Found in your dark eyes,Verse 1,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Oh, I wanna fall in love again",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"But this time, but this time",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
With no regrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I wanna give it all again,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"But this time, but this time",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
With no secrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I don't want just anyone, not anyone new",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I wanna fall in love again with you, with you, with you",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I wanna fall in love again with you, with you",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
Can we forget all the lies that we've led?,Verse 2,Colbie Caillat,In Love Again,Colbie Caillat,1861040
Take us so far away from the truth,Verse 2,Colbie Caillat,In Love Again,Colbie Caillat,1861040
Can we erase all the tears and regrets?,Verse 2,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Fear hiding in the pain, the shadows of yesterday",Verse 2,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Oh, I wanna fall in love again",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"But this time, but this time",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
With no regrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I wanna give it all again,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"But this time, but this time",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
With no secrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I don't want just anyone, not anyone new",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I wanna fall in love again, with you, with you, with you",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
We can take a blank white page,Bridge,Colbie Caillat,In Love Again,Colbie Caillat,1861040
And fill it with the dreams we made,Bridge,Colbie Caillat,In Love Again,Colbie Caillat,1861040
And let these scars slowly fade away,Bridge,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I wanna fall in love again,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
But this time with no regrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I wanna give it all again,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"But this time, but this time",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
With no secrets,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I don't want just anyone, not anyone new",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"Oh, I don't want just anyone, not anyone new",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I wanna fall in love again, with you, with you, with you",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
"I wanna be in love again with you, with you",Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
I wanna be in love again,Chorus,Colbie Caillat,In Love Again,Colbie Caillat,1861040
They say this town,Verse 1,Sugarland,Baby Girl,Sugarland,445080
The stars stay up all night,Verse 1,Sugarland,Baby Girl,Sugarland,445080
"Don't know, can't see 'em",Verse 1,Sugarland,Baby Girl,Sugarland,445080
For the glow of the neon lights,Verse 1,Sugarland,Baby Girl,Sugarland,445080
And it's a long way from here,Verse 1,Sugarland,Baby Girl,Sugarland,445080
To the place where the home fires burn,Verse 1,Sugarland,Baby Girl,Sugarland,445080
"Well, it's 2,000 miles and one left turn",Verse 1,Sugarland,Baby Girl,Sugarland,445080
Dear Mom and Dad,Chorus,Sugarland,Baby Girl,Sugarland,445080
Please send money,Chorus,Sugarland,Baby Girl,Sugarland,445080
I'm so broke that it ain't funny,Chorus,Sugarland,Baby Girl,Sugarland,445080
"But I don't need much, just enough to get me through",Chorus,Sugarland,Baby Girl,Sugarland,445080
Please don't worry 'cause I'm alright,Chorus,Sugarland,Baby Girl,Sugarland,445080
"See, I'm playin' here at the bar tonight",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, this time I'm gonna make our dreams come true",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, I love you more than anything in the world",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Love, your baby girl",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Black top, blue sky",Verse 2,Sugarland,Baby Girl,Sugarland,445080
Big town full of little white lies,Verse 2,Sugarland,Baby Girl,Sugarland,445080
"Well, everybody's your friend, you can never be sure",Verse 2,Sugarland,Baby Girl,Sugarland,445080
They'll promise fancy cars and diamond rings,Verse 2,Sugarland,Baby Girl,Sugarland,445080
And all sorts of shiny things,Verse 2,Sugarland,Baby Girl,Sugarland,445080
"But girl, you'll remember what your knees are for",Verse 2,Sugarland,Baby Girl,Sugarland,445080
Dear Mom and Dad,Chorus,Sugarland,Baby Girl,Sugarland,445080
Please send money,Chorus,Sugarland,Baby Girl,Sugarland,445080
I'm so broke that it ain't funny,Chorus,Sugarland,Baby Girl,Sugarland,445080
"But I don't need much, just enough to get me through",Chorus,Sugarland,Baby Girl,Sugarland,445080
Please don't worry 'cause I'm alright,Chorus,Sugarland,Baby Girl,Sugarland,445080
"See, I'm playin' here at the bar tonight",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, this time I'm gonna make our dreams come true",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, I love you more than anything in the world",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Love, your baby girl",Chorus,Sugarland,Baby Girl,Sugarland,445080
I know that I'm on my way,Outro,Sugarland,Baby Girl,Sugarland,445080
"Well, I can tell every time I play",Outro,Sugarland,Baby Girl,Sugarland,445080
And I know it's worth all the dues I pay,Outro,Sugarland,Baby Girl,Sugarland,445080
When I can write to you and say,Outro,Sugarland,Baby Girl,Sugarland,445080
Dear Mom and Dad,Chorus,Sugarland,Baby Girl,Sugarland,445080
I'll send money,Chorus,Sugarland,Baby Girl,Sugarland,445080
I'm so rich that it ain't funny,Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, it ought to be more then enough to get you through",Chorus,Sugarland,Baby Girl,Sugarland,445080
Please don't worry 'cause I'm alright,Chorus,Sugarland,Baby Girl,Sugarland,445080
"See, I'm stayin' here at the Ritz tonight",Chorus,Sugarland,Baby Girl,Sugarland,445080
What do you know? We made our dreams come true,Chorus,Sugarland,Baby Girl,Sugarland,445080
And there are fancy cars and diamond rings,Chorus,Sugarland,Baby Girl,Sugarland,445080
But you know that they don't mean a thing,Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, they all add up to nothing compared to you",Chorus,Sugarland,Baby Girl,Sugarland,445080
"Well, remember me in ribbons and curls",Chorus,Sugarland,Baby Girl,Sugarland,445080
I still love you more than anything in the world,Chorus,Sugarland,Baby Girl,Sugarland,445080
"Love, your baby girl, yeah",Chorus,Sugarland,Baby Girl,Sugarland,445080
Your baby girl,Outro,Sugarland,Baby Girl,Sugarland,445080
Dear Mom and Dad,Outro,Sugarland,Baby Girl,Sugarland,445080
Please send money,Outro,Sugarland,Baby Girl,Sugarland,445080
I'm so broke that it ain't funny,Outro,Sugarland,Baby Girl,Sugarland,445080
"Don't need much, just enough to get me through (Your baby girl)",Outro,Sugarland,Baby Girl,Sugarland,445080
Please don't worry because I'm alright,Outro,Sugarland,Baby Girl,Sugarland,445080
I'm playin' here at the bar tonight,Outro,Sugarland,Baby Girl,Sugarland,445080
Dreams come true,Outro,Sugarland,Baby Girl,Sugarland,445080
I set out on a narrow way many years ago,Verse 1,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Hoping I would find true love along the broken road,Verse 1,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
But I got lost a time or two,Verse 1,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Wiped my brow and kept pushing through,Verse 1,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
I couldn't see how every sign pointed straight to you,Verse 1,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Every long lost dream led me to where you are,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
"Others who broke my heart, they were like Northern stars",Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Pointing me on my way into your loving arms,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
This much I know is true,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
That God bless the broken road that led me straight to you,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
"(Yes, he did)",Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
I think about the years I spent just passing through,Verse 2,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
I'd like to have the time I lost and give it back to you,Verse 2,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
But you just smile and take my hand,Verse 2,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
"You've been there, you understand",Verse 2,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
It's all part of a grander plan that is coming true,Verse 2,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Every long lost dream led me to where you are,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
"Others who broke my heart, they were like Northern stars",Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Pointing me on my way into your loving arms,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
This much I know is true,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
That God bless the broken road that led me straight to you,Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
(Yeah),Chorus,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Now I'm just rolling home,Verse 3,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Into my lover's arms,Verse 3,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
This much I know is true,Verse 3,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
That God bless the broken road that led me straight to you,Verse 3,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
That God bless the broken road,Outro,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
That led me straight to you,Outro,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Oooh,Outro,Rascal Flatts,Bless the Broken Road,Rascal Flatts,330934
Ooh-ooh,Intro,Jo,Never Had a Dream Come True,S Club 7,1478760
Ooh,Intro,Jo,Never Had a Dream Come True,S Club 7,1478760
Everybody's got something,Verse 1,Jo,Never Had a Dream Come True,S Club 7,1478760
They had to leave behind,Verse 1,Jo,Never Had a Dream Come True,S Club 7,1478760
One regret from yesterday,Verse 1,Jo,Never Had a Dream Come True,S Club 7,1478760
That just seems to grow with time,Verse 1,Jo,Never Had a Dream Come True,S Club 7,1478760
There's no use looking back or wondering (or wondering),Pre-Chorus,Jo,Never Had a Dream Come True,S Club 7,1478760
How it should be now or might have been (or might have been),Pre-Chorus,Jo,Never Had a Dream Come True,S Club 7,1478760
"All this I know, but still, I can't find ways to let you go",Pre-Chorus,Jo,Never Had a Dream Come True,S Club 7,1478760
I never had a dream come true,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
'Til the day that I found you,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
"Even though, I pretend that I've moved on",Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You'll always be my baby,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
I never found the words to say (never found the words to say),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You're the one I think about each day (the one I think about each day),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
And I know no matter where life takes me to,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
"A part of me will always be with you, yeah",Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
Somewhere in my memory,Verse 2,Jo,Never Had a Dream Come True,S Club 7,1478760
I've lost all sense of time,Verse 2,Jo,Never Had a Dream Come True,S Club 7,1478760
And tomorrow can never be,Verse 2,Jo,Never Had a Dream Come True,S Club 7,1478760
'Cause yesterday is all that fills my mind,Verse 2,Jo,Never Had a Dream Come True,S Club 7,1478760
There's no use looking back or wondering (or wondering),Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
How it should be now or might have been (or might have been),Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
"All this I know, but still, I can't find ways to let you go",Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
I never had a dream come true,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
'Til the day that I found you,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
"Even though, I pretend that I've moved on",Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You'll always be my baby,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
I never found the words to say (never found the words to say),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You're the one I think about each day (the one I think about each day),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
And I know no matter where life takes me to,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
A part of me will always be,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You'll always be the dream that fills my head,Bridge,Jo,Never Had a Dream Come True,S Club 7,1478760
"Yes you will, say you will, you know you will, oh baby",Bridge,Jo,Never Had a Dream Come True,S Club 7,1478760
You'll always be the one I know I'll never forget,Bridge,Jo,Never Had a Dream Come True,S Club 7,1478760
There's no use looking back or wondering (or wondering),Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
Because love is a strange and funny thing (and funny thing),Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
"No matter how I try and try, I just can't say goodbye",Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
"No, no, no, no",Pre-Chorus,Jo & (All),Never Had a Dream Come True,S Club 7,1478760
I never had a dream come true,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
'Til the day that I found you,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
"Even though, I pretend that I've moved on",Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You'll always be my baby,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
I never found the words to say (never found the words to say),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
You're the one I think about each day (the one I think about each day),Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
And I know no matter where life takes me to,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
A part of me will always be,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
A part of me will always be with you,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
Oh-oh,Chorus,Jo & All,Never Had a Dream Come True,S Club 7,1478760
I can stand with the weight of the world,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
On my shoulders,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I can fight with the toughest of the tough,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I can laugh in the face,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Of all my insecurities,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"Anytime, anywhere, anything",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm strong enough,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
But when you're holding me like this,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm carelessly lost in your touch,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm completely defenseless,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"Baby, it's almost too much",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"I'm helplessly, hopelessly, recklessly",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Falling in love,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
So let consequence do what it will to us,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I don't care,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Let the stars stand as witness to it all,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Say the word and tonight I will follow you anywhere,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I just can't pretend anymore,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm too sturdy to fall,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
'Cause when you're holding me like this,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm carelessly lost in your touch,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm completely defenseless,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"Baby, it's almost too much",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"I'm helplessly, hopelessly, recklessly",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Falling in love,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I am not afraid,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I am not afraid...,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
'Cause when you're holding me like this,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm carelessly lost in your touch,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I'm completely defenseless,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"Baby, it's almost too much",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"I'm helplessly, hopelessly, recklessly",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Falling...,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"(Helplessly, hopelessly, recklessly)",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
"I'm helplessly, hopelessly, recklessly",I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
Falling in love,I can stand with the weight of the world,Jessica Andrews,"Helplessly, Hopelessly",Jessica Andrews,819550
I do swear that I'll always be there,Intro,Shania Twain,From This Moment On,Shania Twain,430657
I'd give anything and everything and I will always care,Intro,Shania Twain,From This Moment On,Shania Twain,430657
"Through weakness and strength, happiness and sorrow",Intro,Shania Twain,From This Moment On,Shania Twain,430657
"For better for worse, I will love you",Intro,Shania Twain,From This Moment On,Shania Twain,430657
With every beat of my heart,Intro,Shania Twain,From This Moment On,Shania Twain,430657
"From this moment, life has begun",Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
"From this moment, you are the one",Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
Right beside you is where I belong,Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
From this moment on,Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
"From this moment, I have been blessed",Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
I live only for your happiness,Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
"And for your love, I'd give my last breath",Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
From this moment on,Verse 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
I give my hand to you with all my heart,Chorus 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
"I can't wait to live my life with you, can't wait to start",Chorus 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
You and I will never be apart,Chorus 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
My dreams came true because of you,Chorus 1,"Shania Twain, Bryan White, Both",From This Moment On,Shania Twain,430657
"From this moment, as long as I live",Verse 2,Shania Twain & Bryan White,From This Moment On,Shania Twain,430657
